"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2021年09月02日","6,203.0","6,207.0","6,255.0","6,167.0","1.72M","0.45%"
"2021年09月01日","6,175.0","6,135.0","6,179.0","6,110.0","1.94M","1.48%"
"2021年08月31日","6,085.0","6,120.0","6,150.0","6,064.0","3.22M","-1.38%"
"2021年08月30日","6,170.0","6,111.0","6,206.0","6,100.0","1.84M","2.03%"
"2021年08月27日","6,047.0","6,032.0","6,053.0","5,995.0","1.67M","-0.41%"
"2021年08月26日","6,072.0","6,149.0","6,149.0","6,056.0","2.94M","-1.89%"
"2021年08月25日","6,189.0","6,181.0","6,237.0","6,154.0","1.68M","0.96%"
"2021年08月24日","6,130.0","6,105.0","6,188.0","6,105.0","1.60M","0.41%"
"2021年08月23日","6,105.0","5,996.0","6,126.0","5,993.0","1.94M","2.69%"
"2021年08月20日","5,945.0","6,028.0","6,071.0","5,927.0","2.79M","-1.21%"
"2021年08月19日","6,018.0","6,135.0","6,147.0","6,018.0","2.47M","-2.75%"
"2021年08月18日","6,188.0","6,201.0","6,240.0","6,180.0","1.59M","-0.72%"
"2021年08月17日","6,233.0","6,267.0","6,286.0","6,228.0","1.72M","0.13%"
"2021年08月16日","6,225.0","6,354.0","6,354.0","6,185.0","2.27M","-1.35%"
"2021年08月13日","6,310.0","6,240.0","6,336.0","6,219.0","1.74M","0.48%"
"2021年08月12日","6,280.0","6,333.0","6,366.0","6,276.0","3.06M","0.75%"
"2021年08月11日","6,233.0","6,149.0","6,239.0","6,111.0","2.37M","2.53%"
"2021年08月10日","6,079.0","6,020.0","6,108.0","6,005.0","2.27M","0.15%"
"2021年08月06日","6,070.0","6,075.0","6,117.0","6,051.0","1.70M","-0.36%"
"2021年08月05日","6,092.0","6,079.0","6,116.0","6,005.0","2.21M","0.15%"
"2021年08月04日","6,083.0","6,168.0","6,187.0","6,063.0","2.12M","-0.44%"
"2021年08月03日","6,110.0","6,150.0","6,171.0","6,093.0","2.73M","-1.20%"
"2021年08月02日","6,184.0","6,070.0","6,274.0","6,069.0","3.80M","-1.18%"
"2021年07月30日","6,258.0","6,475.0","6,497.0","6,250.0","4.04M","-2.39%"
"2021年07月29日","6,411.0","6,422.0","6,447.0","6,382.0","1.98M","-0.47%"
"2021年07月28日","6,441.0","6,437.0","6,496.0","6,422.0","1.80M","-0.79%"
"2021年07月27日","6,492.0","6,497.0","6,546.0","6,492.0","2.44M","-0.08%"
"2021年07月26日","6,497.0","6,496.0","6,533.0","6,465.0","3.16M","3.08%"
"2021年07月21日","6,303.0","6,400.0","6,422.0","6,303.0","2.29M","0.67%"
"2021年07月20日","6,261.0","6,240.0","6,333.0","6,219.0","3.30M","-1.25%"
"2021年07月19日","6,340.0","6,422.0","6,429.0","6,321.0","3.18M","-3.04%"
"2021年07月16日","6,539.0","6,427.0","6,585.0","6,421.0","4.86M","2.40%"
"2021年07月15日","6,386.0","6,320.0","6,500.0","6,310.0","6.30M","-3.53%"
"2021年07月14日","6,620.0","6,734.0","6,773.0","6,615.0","4.91M","-3.02%"
"2021年07月13日","6,826.0","6,798.0","6,853.0","6,781.0","3.89M","1.44%"
"2021年07月12日","6,729.0","6,700.0","6,755.0","6,698.0","3.42M","2.61%"
"2021年07月09日","6,558.0","6,438.0","6,580.0","6,420.0","4.43M","1.22%"
"2021年07月08日","6,479.0","6,469.0","6,569.0","6,465.0","3.11M","0.53%"
"2021年07月07日","6,445.0","6,500.0","6,537.0","6,428.0","3.03M","-1.39%"
"2021年07月06日","6,536.0","6,585.0","6,630.0","6,531.0","2.39M","-0.31%"
"2021年07月05日","6,556.0","6,448.0","6,589.0","6,443.0","2.70M","1.17%"
"2021年07月02日","6,480.0","6,385.0","6,483.0","6,372.0","2.65M","2.10%"
"2021年07月01日","6,347.0","6,425.0","6,437.0","6,314.0","2.15M","-0.22%"
"2021年06月30日","6,361.0","6,485.0","6,489.0","6,344.0","4.08M","-1.38%"
